,PCODE,배럴지수,뜬공땅볼비율,장타율
3,50165,0.15724815724815724,2.2535211267605635,0.5070000000000001
11,50350,0.0625,1.8974358974358974,0.336
14,50458,0.0,1.1123595505617978,0.29300000000000004
15,50468,0.10843373493975904,1.625,0.477
16,50469,0.0782608695652174,1.6296296296296295,0.3670000000000001
17,50506,0.035211267605633804,1.643939393939394,0.406
23,50730,0.07262569832402235,2.433333333333333,0.428
27,50854,0.0064794816414686825,2.0103092783505154,0.34850000000000003
29,50923,0.13771186440677965,2.1625,0.5369999999999999
31,51004,0.0967741935483871,1.5151515151515151,0.404
38,51463,0.07317073170731707,1.7843137254901962,0.546
42,51725,0.040229885057471264,1.5121951219512195,0.394
43,51817,0.1282051282051282,1.5757575757575757,0.454
50,60523,0.0577716643741403,1.8368794326241136,0.42425
51,60558,0.053175775480059084,1.4585987261146496,0.38925
56,61102,0.09716599190283401,1.9010416666666667,0.43200000000000005
59,61186,0.025879917184265012,1.0538461538461539,0.35875
62,61208,0.01549053356282272,0.953757225433526,0.315
63,61353,0.036935704514363885,1.2197802197802199,0.36975
65,61404,0.016877637130801686,1.4479638009049773,0.38299999999999995
70,61700,0.02786377708978328,1.1851851851851851,0.28474999999999995
75,62025,0.05314009661835749,1.105263157894737,0.39
77,62234,0.015810276679841896,0.9290322580645162,0.35175
78,62244,0.04227212681638045,1.6176470588235294,0.36175
79,62265,0.08254716981132075,1.5851063829787233,0.39025
82,62356,0.036827195467422094,1.2117647058823529,0.3263333333333333
83,62404,0.0667779632721202,1.7983539094650205,0.48125
85,62415,0.022488755622188907,1.6860068259385665,0.39475
88,62556,0.02694136291600634,1.4563758389261745,0.31425
89,62558,0.038011695906432746,1.558139534883721,0.2933333333333333
91,62700,0.03934426229508197,0.953757225433526,0.37175
94,62864,0.013084112149532711,1.981651376146789,0.29575
97,62895,0.10044642857142858,1.7845303867403315,0.495
98,62907,0.013968775677896467,1.4290909090909092,0.4215
102,62925,0.044859813084112146,2.0,0.3765
103,62931,0.08727655099894847,1.682051282051282,0.4585
104,62934,0.059674502712477394,2.298076923076923,0.398
105,62947,0.10316649642492338,1.4343434343434343,0.56925
124,63704,0.006578947368421052,1.236,0.32475
125,63722,0.04195804195804196,1.392156862745098,0.34450000000000003
131,63963,0.04576659038901602,2.069364161849711,0.4115
132,64004,0.013725490196078431,1.0394736842105263,0.32899999999999996
133,64006,0.009027081243731194,1.5040322580645162,0.35375
138,64022,0.07142857142857142,1.170731707317073,0.345
144,64153,0.08450704225352113,2.8173076923076925,0.439
146,64166,0.0456140350877193,1.736842105263158,0.31825000000000003
151,64300,0.073109243697479,3.0532544378698225,0.496
153,64346,0.04967602591792657,1.1074380165289257,0.38666666666666666
