,PCODE,타율,홈런,인플레이타구비율,뜬공땅볼비율,배럴지수,장타율
3,50165,0.2605,23.0,0.3074935400516796,2.239520958083837,0.18280098280098275,0.5070000000000001
11,50350,0.254,2.0,0.297029702970297,1.8974358974358956,0.06874999999999999,0.336
14,50458,0.2495,1.0,0.2909604519774011,1.1014084507042257,0.0,0.29300000000000004
15,50468,0.28,6.0,0.3690476190476191,1.6250000000000009,0.11927710843373493,0.47700000000000004
16,50469,0.209,8.0,0.2598425196850393,1.6296296296296298,0.08608695652173913,0.3670000000000001
17,50506,0.2785,8.0,0.3097643097643097,1.6443433029908994,0.04049295774647888,0.406
23,50730,0.265,9.0,0.3455497382198953,2.433333333333332,0.07988826815642458,0.428
27,50854,0.2605,2.5,0.306368330464716,2.0453333333333403,0.007991360691144709,0.34850000000000003
29,50923,0.279,24.5,0.3481152993348116,2.163811563169169,0.1616525423728813,0.5369999999999999
31,51004,0.271,7.0,0.3253012048192771,1.5151515151515145,0.12580645161290324,0.40399999999999997
38,51463,0.312,20.0,0.3151750972762646,1.784313725490195,0.09512195121951222,0.546
42,51725,0.257,7.0,0.3114754098360656,1.5121951219512189,0.05229885057471264,0.39399999999999996
43,51817,0.255,13.0,0.3072289156626506,1.5757575757575748,0.1666666666666667,0.45399999999999996
50,60523,0.28975,7.25,0.35168961201501875,1.8838487972508609,0.0577716643741403,0.42425
51,60558,0.2575,6.75,0.3151041666666667,1.5455830388692595,0.04697193500738552,0.38925
56,61102,0.27,14.0,0.3068181818181818,1.9024784482758672,0.0908906882591092,0.4320000000000001
59,61186,0.28,2.25,0.339606501283148,1.0837398373983729,0.02391304347826088,0.35875
62,61208,0.2535,1.25,0.3224299065420561,0.9579684763572672,0.013597246127366607,0.315
63,61353,0.285,3.0,0.3728070175438597,1.241420118343196,0.03296853625171,0.36975
65,61404,0.2875,5.5,0.3205574912891986,1.4548148148148137,0.015400843881856544,0.383
70,61700,0.22025,2.25,0.3367088607594937,1.217150760719225,0.02074303405572756,0.28474999999999995
75,62025,0.26275000000000004,4.25,0.3111111111111111,1.11090573012939,0.05072463768115944,0.39
77,62234,0.2895,0.5,0.3191881918819188,0.9934258582907218,0.013043478260869565,0.35175
