,PCODE,타율,홈런,인플레이타구비율,뜬공땅볼비율,배럴지수,장타율
3,50165,0.2605,23.0,0.3074935400516796,2.2535211267605635,0.15724815724815724,0.5070000000000001
11,50350,0.254,2.0,0.297029702970297,1.8974358974358971,0.0625,0.336
14,50458,0.2495,1.0,0.2909604519774011,1.1123595505617978,0.0,0.29300000000000004
15,50468,0.28,6.0,0.3690476190476191,1.625,0.10843373493975904,0.47700000000000004
16,50469,0.209,8.0,0.2598425196850393,1.6296296296296295,0.0782608695652174,0.3670000000000001
17,50506,0.2785,8.0,0.3097643097643097,1.643939393939394,0.035211267605633804,0.406
23,50730,0.265,9.0,0.3455497382198953,2.433333333333333,0.07262569832402235,0.428
27,50854,0.2605,2.5,0.306368330464716,2.0103092783505154,0.006479481641468682,0.34850000000000003
29,50923,0.279,24.5,0.3481152993348116,2.1625,0.13771186440677965,0.5369999999999999
31,51004,0.271,7.0,0.3253012048192771,1.5151515151515151,0.0967741935483871,0.40399999999999997
38,51463,0.312,20.0,0.3151750972762646,1.7843137254901962,0.07317073170731707,0.546
42,51725,0.257,7.0,0.3114754098360656,1.5121951219512195,0.040229885057471264,0.39399999999999996
43,51817,0.255,13.0,0.3072289156626506,1.5757575757575757,0.1282051282051282,0.45399999999999996
50,60523,0.28975,7.25,0.35168961201501875,1.8368794326241136,0.0577716643741403,0.42425
51,60558,0.2575,6.75,0.3151041666666667,1.4585987261146496,0.053175775480059084,0.38925
56,61102,0.27,14.0,0.3068181818181818,1.9010416666666667,0.097165991902834,0.4320000000000001
59,61186,0.28,2.25,0.339606501283148,1.053846153846154,0.02587991718426501,0.35875
62,61208,0.2535,1.25,0.3224299065420561,0.9537572254335259,0.015490533562822718,0.315
63,61353,0.285,3.0,0.3728070175438597,1.21978021978022,0.036935704514363885,0.36975
65,61404,0.2875,5.5,0.3205574912891986,1.4479638009049771,0.016877637130801686,0.383
70,61700,0.22025,2.25,0.3367088607594937,1.1851851851851851,0.02786377708978328,0.28474999999999995
75,62025,0.26275000000000004,4.25,0.3111111111111111,1.1052631578947372,0.05314009661835749,0.39
77,62234,0.2895,0.5,0.3191881918819188,0.9290322580645162,0.015810276679841896,0.35175
78,62244,0.26775,2.75,0.3270588235294118,1.6176470588235294,0.04227212681638045,0.36175
79,62265,0.23775,4.0,0.3068893528183716,1.5851063829787233,0.08254716981132075,0.39025
82,62356,0.2503333333333333,2.333333333333333,0.3685446009389672,1.2117647058823529,0.036827195467422094,0.3263333333333333
83,62404,0.29675,15.25,0.3501180173092053,1.7983539094650205,0.0667779632721202,0.48125
85,62415,0.28250000000000003,7.25,0.32665330661322645,1.6860068259385663,0.02248875562218891,0.39475
88,62556,0.24175,3.5,0.3216601815823606,1.4563758389261745,0.02694136291600634,0.31425
89,62558,0.19699999999999998,3.0,0.26287262872628725,1.5581395348837208,0.038011695906432746,0.2933333333333333
91,62700,0.27125,3.75,0.35348226018396844,0.9537572254335259,0.03934426229508197,0.37175
94,62864,0.22275,2.5,0.2839721254355401,1.981651376146789,0.013084112149532713,0.29575
97,62895,0.26475,20.25,0.3056768558951965,1.7845303867403317,0.10044642857142858,0.495
98,62907,0.3185,3.75,0.3669932177844761,1.4290909090909092,0.013968775677896469,0.4215
