,PCODE_YEAR,배럴지수,뜬공땅볼비율,장타율
0,50165_2020,0.16058394160583941,2.3863636363636362,0.5920000000000001
1,50165_2021,0.15037593984962405,2.037037037037037,0.42200000000000004
2,50350_2020,0.0625,1.8974358974358974,0.336
3,50458_2020,0.0,1.2391304347826086,0.272
4,50458_2021,0.0,0.9767441860465116,0.314
5,50469_2020,0.0782608695652174,1.6296296296296295,0.36700000000000005
6,50506_2020,0.03896103896103896,1.6404494382022472,0.42200000000000004
7,50506_2021,0.0273224043715847,1.6511627906976745,0.39
8,50704_2021,0.04,1.25,0.233
9,50709_2021,0.0,2.1538461538461537,0.23399999999999999
10,50730_2020,0.07262569832402235,2.433333333333333,0.428
11,50854_2020,0.003401360544217687,1.7205882352941178,0.326
12,50854_2021,0.011834319526627219,2.689655172413793,0.371
13,50923_2020,0.13141025641025642,2.150943396226415,0.541
14,50923_2021,0.15,2.185185185185185,0.5329999999999999
15,51004_2021,0.0967741935483871,1.5151515151515151,0.40399999999999997
16,51203_2021,0.03614457831325301,1.6666666666666667,0.397
17,51324_2021,0.061855670103092786,1.380952380952381,0.374
18,51463_2021,0.07317073170731707,1.7843137254901962,0.546
19,51725_2021,0.040229885057471264,1.5121951219512195,0.39399999999999996
20,51817_2021,0.1282051282051282,1.5757575757575757,0.45399999999999996
21,60523_2018,0.11016949152542373,1.5384615384615385,0.494
22,60523_2019,0.034782608695652174,1.3548387096774193,0.289
23,60523_2020,0.05517241379310345,2.2244897959183674,0.42700000000000005
24,60523_2021,0.04411764705882353,1.9428571428571428,0.48700000000000004
25,60558_2018,0.06944444444444445,0.9354838709677419,0.42100000000000004
26,60558_2019,0.0593607305936073,1.7234042553191489,0.35200000000000004
27,60558_2020,0.024691358024691357,1.7878787878787878,0.397
28,60558_2021,0.05,2.066666666666667,0.387
29,60566_2018,0.0,0.7142857142857143,0.262
30,60566_2019,0.0,0.7884615384615384,0.308
31,61102_2018,0.11228070175438597,1.6610169491525424,0.508
32,61102_2019,0.1018867924528302,2.2444444444444445,0.43799999999999994
33,61102_2020,0.08561643835616438,2.0943396226415096,0.415
34,61102_2021,0.0821917808219178,1.5714285714285714,0.36700000000000005
35,61186_2018,0.028225806451612902,0.8571428571428571,0.435
36,61186_2019,0.030136986301369864,0.9587628865979382,0.374
37,61186_2020,0.01762114537444934,1.4642857142857142,0.33299999999999996
38,61186_2021,0.023809523809523808,1.054054054054054,0.293
39,61197_2019,0.023952095808383235,1.25,0.37799999999999995
40,61208_2018,0.024509803921568627,0.8305084745762712,0.375
41,61208_2020,0.019417475728155338,1.105263157894737,0.355
42,61208_2021,0.0,0.8,0.29
43,61353_2018,0.0427807486631016,1.2,0.4
44,61353_2019,0.040880503144654086,1.0963855421686748,0.42100000000000004
45,61353_2020,0.03125,1.3513513513513513,0.371
46,61353_2021,0.015151515151515152,1.588235294117647,0.287
47,61404_2018,0.02197802197802198,1.2528735632183907,0.423
48,61404_2019,0.010714285714285714,1.6451612903225807,0.387
49,61404_2020,0.005319148936170213,1.9487179487179487,0.315
50,61404_2021,0.034482758620689655,1.0,0.40700000000000003
51,61554_2021,0.03076923076923077,1.1176470588235294,0.29600000000000004
52,61700_2018,0.05673758865248227,1.0285714285714285,0.392
53,61700_2020,0.00909090909090909,1.0666666666666667,0.337
54,61869_2018,0.04580152671755725,2.2083333333333335,0.33799999999999997
55,62025_2019,0.05172413793103448,1.1020408163265305,0.395
56,62234_2018,0.028089887640449437,0.5625,0.311
57,62234_2019,0.004807692307692308,1.1475409836065573,0.28600000000000003
58,62234_2021,0.0,1.4285714285714286,0.28600000000000003
59,62244_2018,0.09174311926605505,2.625,0.406
60,62244_2019,0.025806451612903226,1.3896103896103895,0.39
61,62244_2020,0.04332129963898917,1.7796610169491525,0.364
62,62244_2021,0.03278688524590164,1.1666666666666667,0.287
63,62265_2019,0.06956521739130435,1.0666666666666667,0.46299999999999997
64,62265_2020,0.0898876404494382,1.8070175438596492,0.366
65,62332_2018,0.047244094488188976,1.5172413793103448,0.307
66,62356_2018,0.011111111111111112,1.0,0.369
67,62356_2019,0.07758620689655173,1.4,0.33299999999999996
68,62404_2018,0.05362776025236593,1.6206896551724137,0.5329999999999999
69,62404_2019,0.07418397626112759,2.028985507246377,0.444
70,62404_2020,0.07120743034055728,1.7878787878787878,0.478
71,62404_2021,0.06787330316742081,1.7,0.47
72,62415_2018,0.03333333333333333,1.7228915662650603,0.43200000000000005
73,62415_2019,0.011730205278592375,1.7160493827160495,0.32799999999999996
74,62415_2020,0.024456521739130436,1.728395061728395,0.415
75,62415_2021,0.014634146341463415,1.5,0.40399999999999997
76,62556_2018,0.05204460966542751,1.3709677419354838,0.442
77,62556_2019,0.004081632653061225,1.3442622950819672,0.28800000000000003
78,62556_2021,0.0,1.5714285714285714,0.244
79,62558_2020,0.02727272727272727,1.4482758620689655,0.327
80,62558_2021,0.08823529411764706,2.0,0.36
81,62700_2018,0.04316546762589928,0.8023255813953488,0.364
82,62700_2020,0.027210884353741496,1.3142857142857143,0.35100000000000003
83,62700_2021,0.04,1.0208333333333333,0.40399999999999997
84,62797_2018,0.013071895424836602,1.5833333333333333,0.325
85,62802_2019,0.02631578947368421,1.065217391304348,0.32299999999999995
86,62864_2018,0.01327433628318584,1.7446808510638299,0.35200000000000004
87,62864_2020,0.018633540372670808,2.3666666666666667,0.318
88,62864_2021,0.011764705882352941,2.1176470588235294,0.325
89,62884_2018,0.06802721088435375,1.0810810810810811,0.45
90,62895_2018,0.10429447852760736,2.1636363636363636,0.601
91,62895_2019,0.07291666666666667,1.408450704225352,0.396
92,62895_2020,0.1297709923664122,1.8461538461538463,0.508
93,62895_2021,0.11920529801324503,1.9310344827586208,0.475
94,62907_2018,0.018867924528301886,0.9021739130434783,0.43799999999999994
95,62907_2019,0.010610079575596816,1.6973684210526316,0.434
96,62907_2020,0.015665796344647518,1.7702702702702702,0.475
97,62907_2021,0.007194244604316547,1.5151515151515151,0.33899999999999997
98,62925_2020,0.043333333333333335,2.0350877192982457,0.46299999999999997
