,PCODE,배럴지수,뜬공땅볼비율,장타율
3,50165,0.18280098280098275,2.239520958083837,0.5070000000000001
11,50350,0.06874999999999999,1.8974358974358954,0.336
14,50458,0.0,1.1014084507042257,0.29300000000000004
15,50468,0.11927710843373492,1.6250000000000009,0.477
16,50469,0.08608695652173912,1.62962962962963,0.3670000000000001
17,50506,0.040492957746478875,1.6443433029908994,0.406
23,50730,0.07988826815642457,2.4333333333333313,0.428
27,50854,0.007991360691144709,2.0453333333333403,0.34850000000000003
29,50923,0.1616525423728813,2.1638115631691694,0.5369999999999999
31,51004,0.12580645161290324,1.5151515151515145,0.404
38,51463,0.09512195121951222,1.784313725490195,0.546
42,51725,0.05229885057471264,1.5121951219512189,0.394
43,51817,0.1666666666666667,1.5757575757575748,0.454
50,60523,0.0577716643741403,1.883848797250861,0.42425
51,60558,0.04697193500738552,1.5455830388692595,0.38925
56,61102,0.09089068825910919,1.9024784482758672,0.43200000000000005
59,61186,0.023913043478260877,1.0837398373983729,0.35875
62,61208,0.013597246127366607,0.9579684763572673,0.315
63,61353,0.03296853625171,1.241420118343196,0.36975
65,61404,0.015400843881856544,1.4548148148148137,0.38299999999999995
70,61700,0.02074303405572756,1.2171507607192247,0.28474999999999995
75,62025,0.05072463768115944,1.1109057301293899,0.39
77,62234,0.013043478260869565,0.9934258582907218,0.35175
78,62244,0.0396301188903567,1.590639810426541,0.36175
79,62265,0.08419811320754722,1.606846473029044,0.39025
82,62356,0.03314447592067989,1.2539229671897276,0.3263333333333333
83,62404,0.06611018363939897,1.798168955472335,0.48125
85,62415,0.02038980509745128,1.6736283185840826,0.39475
88,62556,0.020443740095087162,1.4857363145720928,0.31425
89,62558,0.04473684210526317,1.5708245243128967,0.2933333333333333
91,62700,0.03737704918032787,0.9927140255009107,0.37175
94,62864,0.01252336448598131,2.035467980295571,0.29575
97,62895,0.09464285714285707,1.7717842323651478,0.495
98,62907,0.012900575184880855,1.4908595877090682,0.4215
102,62925,0.04822429906542058,2.0123456790123484,0.3765
103,62931,0.08296529968454253,1.738029719317558,0.4585
104,62934,0.05370705244122968,2.4473684210526363,0.398
105,62947,0.10633299284984671,1.4837696335078534,0.56925
124,63704,0.005482456140350877,1.215608465608466,0.32475
125,63722,0.04149184149184149,1.3869731800766283,0.34450000000000003
131,63963,0.04622425629290618,2.082563154651888,0.4115
132,64004,0.014313725490196078,1.0456375838926182,0.32899999999999996
133,64006,0.008324974924774322,1.5751273344651986,0.35375
138,64022,0.0564935064935065,1.2336448598130838,0.345
144,64153,0.08169014084507036,2.878177966101706,0.439
146,64166,0.05192982456140352,1.7350689127105712,0.31825000000000003
151,64300,0.06731092436974781,3.075707702435849,0.496
153,64346,0.03952483801295897,1.0854271356783936,0.38666666666666666
156,64468,0.03464285714285715,1.7688679245282999,0.35200000000000004
162,64560,0.03333333333333334,2.014557670772684,0.3295
163,64610,0.003873239436619719,0.8589894242068153,0.3133333333333333
164,64646,0.01482843137254902,1.2133333333333327,0.3063333333333333
165,64657,0.05303514376996805,1.3860523038605213,0.308
172,64868,0.0,1.0567129629629632,0.2645
176,64984,0.010372771474878445,1.6270380434782634,0.36575
187,65357,0.028813559322033905,1.646879756468802,0.3243333333333333
197,65586,0.061246612466124666,2.640909090909093,0.35125
206,66108,0.06864754098360658,1.1548117154811726,0.36675
218,66606,0.013278495887191542,1.3480195816644402,0.36475
231,66838,0.0595430107526882,1.9757575757575805,0.40425
240,67025,0.10185185185185157,1.9236031927024058,0.6000000000000001
244,67304,0.02480988593155894,1.1931902294596588,0.374
245,67341,0.03428005284015853,1.747615803814726,0.49
246,67394,0.05021097046413501,2.7368421052631646,0.458
248,67450,0.0855421686746987,1.8185567010309318,0.56
251,67539,0.008536585365853657,1.1704834605597962,0.185
252,67598,0.07890909090909087,1.5789473684210549,0.513
256,67650,0.06685393258426962,1.3209876543209884,0.487
